Vocab,WordCount
182153, 347853
182190, 347928
183792, 351405
183858, 351552
184026, 351895
184106, 352058
184288, 352435
184306, 352480
184418, 352695
184680, 353214
184849, 353555
184909, 353854
185077, 354231
185374, 354820
185433, 354907
185549, 355144
185618, 355285
185728, 355482
185794, 355615
185827, 355678
185918, 355843
186110, 356212
186331, 356603
186391, 356730
186492, 356899
186567, 357046
186604, 357117
186755, 357398
186919, 357707
187216, 358334
187398, 358675
187605, 359096
187779, 359613
187871, 359814
189112, 362313
189379, 362782
189419, 363081
189440, 363130
189507, 363257
189773, 363934
189849, 364075
189917, 364198
190038, 364415
190089, 364508
190210, 364739
190305, 365126
190341, 365231
190607, 365808
190704, 366033
191175, 367262
191290, 367515
191855, 368586
191896, 368671
191990, 368870
192316, 369467
192552, 369934
192665, 370169
192793, 370416
192834, 370505
192913, 370844
192973, 370979
193147, 371328
193208, 371429
193241, 371480
193282, 371553
193825, 372658
193885, 372777
194031, 373044
194066, 373119
194121, 373224
194159, 373279
194164, 373320
194191, 373385
194223, 373458
194709, 374501
196241, 378340
196313, 378505
196384, 378648
196410, 378709
196432, 378750
197412, 380721
197710, 381318
197734, 381385
199444, 384958
199500, 385081
200960, 388062
201137, 388447
201304, 388756
201363, 388867
201415, 388960
201498, 389111
201525, 389166
201525, 389207
201697, 389582
201737, 389657
202994, 392154
203074, 392303
203074, 392344
203301, 392793
203613, 393502
204448, 395277
204567, 395510
205735, 397891
205812, 398030
206066, 398573
209484, 405320
209484, 405361
209587, 405570
209587, 405611
209608, 405680
209891, 406235
210011, 406494
211088, 408687
211218, 408950
211268, 409047
211619, 409770
211739, 410075
211813, 410204
211997, 410647
212588, 411872
213477, 413717
213516, 413790
213642, 414045
213850, 414476
214242, 415313
214303, 415438
214333, 415483
214809, 416242
214809, 416275
214852, 416370
214902, 416465
214954, 416554
215206, 417081
215519, 417798
215557, 417939
215594, 418026
216153, 419141
216191, 419208
216314, 419443
216465, 419766
216512, 419877
216514, 419918
216606, 420069
216629, 420130
216854, 420759
216987, 421060
217042, 421161
217061, 421194
217094, 421255
217639, 422484
217698, 422595
217767, 422742
218374, 423955
218427, 424274
218484, 424375
219165, 425790
219379, 426189
219510, 426454
219624, 426701
219743, 426932
219831, 427111
219852, 427156
219884, 427211
219938, 427334
219977, 427403
220094, 427620
220285, 427961
220402, 428240
220454, 428353
220846, 429182
221533, 430795
221574, 430890
221609, 430953
223477, 434844
223621, 435167
223677, 435268
223760, 435413
223801, 435494
223836, 435565
223947, 435792
223983, 435863
224015, 435936
224249, 436417
224664, 437408
224948, 438007
225006, 438124
225044, 438201
225222, 438606
225644, 439431
226093, 440342
226232, 440595
226305, 440716
226398, 440903
226496, 441094
226655, 441397
226787, 441658
226990, 442017
228167, 444460
